Date,Open,High,Low,Close,Adj Close,Volume
13-Oct-16,1360.05,1384.9,1353,1369.75,1370.34,827113
14-Oct-16,1377,1377,1353.1,1357.1,1362.48,797923
17-Oct-16,1359.7,1360.4,1308.05,1313.1,1326.33,932761
18-Oct-16,1320.4,1334.9,1317.55,1333.35,1325.16,788484
19-Oct-16,1338.7,1338.7,1312.05,1327.9,1322.66,1155301
20-Oct-16,1330,1343.7,1323,1327.4,1331.55,520128
21-Oct-16,1326.9,1330,1320.4,1326.75,1326.17,406448
24-Oct-16,1328.5,1343.2,1320.35,1339.25,1334.55,889305
25-Oct-16,1340,1340.85,1299.3,1303.9,1311.48,1452754
26-Oct-16,1300.1,1325,1292.65,1308.95,1314.45,625272
27-Oct-16,1310,1316.1,1293,1299.75,1301.1,954282
28-Oct-16,1298,1314.85,1290,1311.8,1307.26,749008
30-Oct-16,1313,1325,1311,1317,1317.41,84411
1-Nov-16,1320.9,1337.8,1304,1326.35,1329.96,927448
2-Nov-16,1319,1386.5,1306.5,1369.3,1360.62,3025246
3-Nov-16,1361.05,1375.55,1353,1360.95,1363.57,1112404
4-Nov-16,1360,1392,1346.25,1372.35,1375.46,1599025
7-Nov-16,1384,1393.35,1370.6,1377.95,1382.42,1061785
8-Nov-16,1384,1388.6,1367.05,1384.6,1379.53,442381
9-Nov-16,1314,1359,1253.85,1333.35,1315.35,1871510
10-Nov-16,1357.95,1378.45,1310,1321.3,1333.49,1256420
11-Nov-16,1300,1317,1231.6,1240.2,1284.67,2277753
15-Nov-16,1242,1257.95,1169.25,1238.3,1227.07,2065468
16-Nov-16,1252,1278.35,1219.55,1237.35,1257.46,1348466
17-Nov-16,1230,1245,1211,1219.65,1229.42,529216
18-Nov-16,1222.25,1247,1221,1239.85,1237.08,547225
21-Nov-16,1244.45,1245.7,1190,1199.4,1203.14,755318
22-Nov-16,1210,1223.6,1185,1219.1,1206.76,643999
23-Nov-16,1224.95,1226.5,1187.1,1191.8,1199.11,580706
24-Nov-16,1188,1199.8,1158,1163.7,1171.73,1633434
25-Nov-16,1169.9,1178.5,1153.25,1173,1166.83,763588
28-Nov-16,1175,1183.95,1156,1162.5,1171.29,663942
29-Nov-16,1161,1201,1160.05,1185.85,1188.39,1038178
30-Nov-16,1192,1197.9,1180.55,1185.1,1186.63,938090
1-Dec-16,1190,1194,1156.9,1160.1,1172.35,665802
2-Dec-16,1158,1164,1141.65,1145.55,1147.47,1096755
5-Dec-16,1157.85,1185.6,1150,1181.3,1172.02,662827
6-Dec-16,1186,1192.45,1172.05,1175.4,1182.1,543702
7-Dec-16,1182.9,1195.9,1170,1182,1185.52,937700
8-Dec-16,1187,1214.2,1187,1209.2,1206.02,901569
9-Dec-16,1219,1219,1183,1188.35,1196.55,977333
12-Dec-16,1187.2,1195.4,1162.2,1165.6,1173.81,541323
13-Dec-16,1164,1174.5,1153.1,1167.4,1166.36,750916
14-Dec-16,1174.8,1184,1159.05,1173.95,1172.52,552388
15-Dec-16,1170,1196.8,1166.1,1186.55,1187.15,961665
16-Dec-16,1185,1188.95,1167.9,1181,1177.19,801230
19-Dec-16,1183.3,1189.8,1172,1177.05,1179.65,741307
20-Dec-16,1178.1,1186.05,1170,1178.6,1178.14,532361
21-Dec-16,1186,1204.7,1175,1190.45,1193.92,838016
22-Dec-16,1187,1192.9,1173.05,1183.6,1181.68,855701
23-Dec-16,1171,1181.8,1155,1171.6,1170.29,770271
26-Dec-16,1172,1173,1145.75,1148.7,1153.62,1062180
27-Dec-16,1149,1171.45,1141.4,1167.25,1159.59,580928
28-Dec-16,1171.1,1184.9,1170,1174.1,1178.16,1069415
29-Dec-16,1177.8,1179,1168.35,1174.95,1173.94,833778
30-Dec-16,1178.25,1188.8,1172,1184.7,1181.57,511509
2-Jan-17,1184.5,1233,1170.25,1229.8,1205.01,1053264
3-Jan-17,1230,1232.25,1215,1222.55,1221.65,776511
4-Jan-17,1222.65,1230.75,1213,1221.95,1224.2,565408
5-Jan-17,1224,1235,1207.4,1227.35,1218.33,1254243
6-Jan-17,1239,1239,1217.2,1220.45,1225.86,1127033
9-Jan-17,1219.3,1223.95,1201,1204,1205.87,521391
10-Jan-17,1201,1216.6,1201,1213.5,1211.79,279060
11-Jan-17,1217.25,1237.75,1213.65,1232,1227.81,705848
12-Jan-17,1235,1235.15,1210.2,1213.4,1218.62,327855
13-Jan-17,1221.8,1227,1215.65,1217.85,1220.01,393794
16-Jan-17,1215,1226.8,1207.4,1211,1217.45,490151
17-Jan-17,1210,1214.5,1200.75,1204.45,1208.29,478977
18-Jan-17,1205.1,1220.4,1202.3,1214.6,1212.74,979188
19-Jan-17,1212,1213.65,1202.75,1210.8,1208.48,393929
1/20/17,1210,1216.8,1187.1,1192.05,1196.03,768833
1/23/17,1196,1204.5,1177.35,1188.9,1188.88,543401
